Espèces;Famille;Date;Nombre d'espèce;Prélèvement;Fungarium;N° Exsiccata;Récolteur(s);Déterminateur(s);Légataire récolte;Site;Fiabilité détermination;Commentaire
Tubaria furfuracea (Pers.) Gillet;Tubariaceae;27/09/2025;3;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Non prélevé car trop peu d’exemplaire mature.
Agrocybe pediades (Fr.) Fayod;Strophariaceae;27/09/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Non prélevé car trop peu d’exemplaire mature.
Caloboletus radicans (Pers.) Vizzini;Boletaceae;27/09/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Certaine;Non prélevé car trop peu d’exemplaire.
Agrocybe dura (Bolt.) Singer;Strophariaceae;27/09/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Certaine;Non prélevé car seul exemplaire et dégradé.
Lycoperdon perlatum Pers., nom. sanct.;Agaricaceae;27/09/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 19;Certaine;Non prélevé car trop peu d’exemplaire mature.
Agaricus campestris L., nom. sanct.;Agaricaceae;27/09/2025;3;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 19;Certaine;Non prélevé individus dégradé.
Marasmius oreades (Bolt.) Fr.;Marasmiaceae;27/09/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 19;Probable;Non prélevé car trop peu d’exemplaire mature.
Bolbitius titubans (Bull.) Fr.;Bolbitiaceae;27/09/2025;1;Oui;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 18;Probable;Individu très abîmé. Pas d'exsiccatum.
Agaricus campestris L., nom. sanct.;Agaricaceae;27/09/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Non prélevé car seul exemplaire.
Volvopluteus gloiocephalus (DC.) Vizzini, Contu & Justo;Pluteaceae;27/09/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Certaine;
Coprinopsis pseudonivea (Bender & Uljé) Redhead, Vilgalys & Moncalvo;Psathyrellaceae;27/09/2025;3;Oui;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Certaine;Espèce fimicole. Validation macro et micro (spore mitriforme). Déliquescence rapide. Pas d'exsiccatum.
Volvopluteus gloiocephalus (DC.) Vizzini, Contu & Justo;Pluteaceae;27/09/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Certaine;
Melanoleuca sp.;Tricholomataceae ;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;Individu dégradé non prélevé.
Hymenopellis radicata (Relhan) R.H. Petersen;Physalacriaceae;15/10/2025;5;Oui;Oui;RNNCS-P03-151025-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Certaine;Proximité feuillu moribond.
Coprinellus micaceus (Bull.) Vilgalys, Hopple & J. E. Johnson;Psathyrellaceae;15/10/2025;6;Oui;Oui;RNNCS-P03-151025-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Certaine;Sporée noire, lames déliquescentes rapidement.
Melanoleuca sp.;Tricholomataceae ;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Non prélevé car seul exemplaire.
Bolbitius titubans (Bull.) Fr.;Bolbitiaceae;15/10/2025;1;Oui;Oui;RNNCS-P03-151025-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Certaine;
Hygrocybe euroflavescens Kühner;Hygrophoraceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;Non prélevé car seul exemplaire.
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;Non prélevé car seul exemplaire chétif.
Agaricus campestris L., nom. sanct.;Agaricaceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;Non prélevé car exemplaire déjà dégradé.
Lepista sordida (Schumach.) Singer;Tricholomataceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Melanoleuca sp.;Tricholomataceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Agaricus cupreobrunneus (J. Schäffer & Steer ex F.H. Møller) Pilát;Agaricaceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;Un seul individu abîmé.
Russula foetens (Pers.);Russulaceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 13;Probable;Individu déjà très dégradé
Agaricus campestris L., nom. sanct.;Agaricaceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Non prélevé car un seul exemplaire.
Melanoleuca sp.;Tricholomataceae;15/10/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Certaine;Individu dégradé. Genre difficile à ce stade.
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;16/11/2025;2;Oui;Oui;RNNCS-P04-161125-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;10;Oui;Oui;RNNCS-P04-161125-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;
Hygrocybe euroflavescens Kühner;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Non prélevé car seul exemplaire.
Hebeloma sp;Strophariaceae;16/11/2025;1;Oui;Oui;RNNCS-P04-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;A déterminer en microscopie pour avoir une certitude
Agaricus campestris L., nom. sanct.;Agaricaceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Non prélevé car exemplaire déjà dégradé.
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;11;Oui;Oui;RNNCS-P05-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;16/11/2025;4;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;Individus dégradés.
Hygrocybe euroflavescens Kühner;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;Individu déjà très dégradé.
