"Espèces","Famille","Date","Nombre d'espèce","Prélèvement","Fungarium","N° Exsiccata","Récolteur(s)","Déterminateur(s)","Légataire récolte","Site","Fiabilité détermination","Commentaire","date_obs","nombre_espece_num"
"Tubaria furfuracea (Pers.) Gillet","Tubariaceae","27/09/2025","3","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","",2025-09-27,3
"Agrocybe pediades (Fr.) Fayod","Strophariaceae","27/09/2025","2","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","",2025-09-27,2
"Caloboletus radicans (Pers.) Vizzini","Boletaceae","27/09/2025","2","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Certaine","",2025-09-27,2
"Lycoperdon perlatum","Agaricaceae","27/09/2025","2","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 19","Certaine","",2025-09-27,2
"Agaricus campestris L., nom. sanct.","Agaricaceae","27/09/2025","3","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 19","Certaine","",2025-09-27,3
"Marasmius oreades (Bolt.) Fr.","Marasmiaceae","27/09/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 19","Probable","",2025-09-27,1
"Bolbitius titubans (Bull.) Fr.","Bolbitiaceae","27/09/2025","1","Oui","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 18","Probable","Individu très abîmé. Pas d'exsiccatum.",2025-09-27,1
"Coprinopsis pseudonivea (Bender & Uljé) Redhead, Vilgalys & Moncalvo","Psathyrellaceae","27/09/2025","3","Oui","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Certaine","Espèce fimicole. Validation macro et micro (spore mitriforme). Déliquescence rapide. Pas d'exsiccatum.",2025-09-27,3
"Hymenopellis radicata (Relhan) R.H. Petersen","Physalacriaceae","15/10/2025","5","Oui","Oui","RNNCA-P03-151025-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Certaine","Proximité feuillu moribond.",2025-10-15,5
"Coprinellus micaceus","Psathyrellaceae","15/10/2025","6","Oui","Oui","RNNCA-P03-151025-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Certaine","Sporée noire, lames déliquescentes rapidement.",2025-10-15,6
"Bolbitius titubans","Bolbitiaceae","15/10/2025","1","Oui","Oui","RNNCA-P03-151025-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Certaine","",2025-10-15,1
"Hygrocybe euroflavescens","Hygrophoraceae","15/10/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","Non prélevé car seul exemplaire.",2025-10-15,1
"Hygrocybe conica","Hygrophoraceae","15/10/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","Non prélevé car seul exemplaire chétif.",2025-10-15,1
"Agaricus campestris","Agaricaceae","15/10/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","Non prélevé car exemplaire déjà dégradé.",2025-10-15,1
"Lepista sordida","Tricholomataceae","15/10/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2025-10-15,1
"Russula foetens","Russulaceae","15/10/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 13","Probable","Individu déjà très dégradé",2025-10-15,1
"Hygrocybe conica","Hygrophoraceae","16/11/2025","2","Oui","Oui","RNNCA-P04-161125-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","",2025-11-16,2
"Cuphophyllus virgineus","Hygrophoraceae","16/11/2025","10","Oui","Oui","RNNCA-P04-161125-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","",2025-11-16,10
"Hygrocybe euroflavescens","Hygrophoraceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","Non prélevé car seul exemplaire.",2025-11-16,1
"Hebeloma sp","Strophariaceae","16/11/2025","1","Oui","Oui","RNNCA-P04-161125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","","A déterminer en microscopie pour avoir une certitude",2025-11-16,1
"Agaricus campestris","Agaricaceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","Non prélevé car exemplaire déjà dégradé.",2025-11-16,1
"Agaricus cupreobrunneus","Agaricaceae","15/10/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","Un seul individu abîmé.",2025-10-15,1
"Cuphophyllus virgineus","Hygrophoraceae","16/11/2025","11","Oui","Oui","RNNCA-P05-161125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2025-11-16,11
"Hygrocybe conica","Hygrophoraceae","16/11/2025","4","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","Individus dégradés.",2025-11-16,4
"Cuphophyllus russocoriacea","Hygrophoraceae","16/11/2025","1","Oui","Oui","RNNCA-P05-161125-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2025-11-16,1
"Cuphophyllus berkeleyii","Hygrophoraceae","16/11/2025","1","Oui","Oui","RNNCA-P05-161125-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2025-11-16,1
"Cuphophyllus virgineus","Hygrophoraceae","16/11/2025","4","Oui","Oui","RNNCA-P07-161125-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 7","Probable","",2025-11-16,4
