"site_id","site_name","nb_visites_planifiees","chegd_total","gradient_visite_1","gradient_visite_2","gradient_visite_3","gradient_visite_4","chegd_gradient","ir_visite_1","ir_visite_2","ir_visite_3","ir_visite_4","ir_moyen"
1,"Pelouse 1",4,3,0,0,0,3,3,1,1,1,0,0.75
2,"Pelouse 2",4,1,0,0,0,1,1,1,1,1,0,0.75
3,"Pelouse 3",4,6,4,1,1,0,4,0.333333333333333,0.833333333333333,0.833333333333333,1,0.75
4,"Pelouse 4",4,6,0,3,3,0,3,1,0.5,0.5,1,0.75
5,"Pelouse 5",4,7,0,5,2,0,5,1,0.285714285714286,0.714285714285714,1,0.75
6,"Pelouse 6",4,0,0,0,0,0,0,0,0,0,0,0
7,"Pelouse 7",4,1,0,1,0,0,1,1,0,1,1,0.75
8,"Pelouse 8",4,0,0,0,0,0,0,0,0,0,0,0
9,"Pelouse 9",4,0,0,0,0,0,0,0,0,0,0,0
10,"Pelouse 10",4,0,0,0,0,0,0,0,0,0,0,0
11,"Pelouse 11",4,0,0,0,0,0,0,0,0,0,0,0
12,"Pelouse 12",4,0,0,0,0,0,0,0,0,0,0,0
13,"Pelouse 13",4,0,0,0,0,0,0,0,0,0,0,0
14,"Pelouse 14",4,0,0,0,0,0,0,0,0,0,0,0
15,"Pelouse 15",4,0,0,0,0,0,0,0,0,0,0,0
16,"Pelouse 16",4,5,0,4,1,0,4,1,0.2,0.8,1,0.75
17,"Pelouse 17",4,0,0,0,0,0,0,0,0,0,0,0
18,"Pelouse 18",4,0,0,0,0,0,0,0,0,0,0,0
19,"Pelouse 19",4,0,0,0,0,0,0,0,0,0,0,0
20,"Pelouse 20",4,6,0,3,3,0,3,1,0.5,0.5,1,0.75
