"site_id","site_name","potentiel_nb_especes","potentiel_score","potentiel_classe","nb_cuphophyllus","nb_hygrocybe_conica_groupe","nb_hygrocybes_jaunes","nb_entoloma","nb_clavarioides"
1,"Pelouse 1",1,5,"Potentiel fongique faible",1,0,0,0,0
2,"Pelouse 2",2,3,"Potentiel fongique faible",1,0,0,0,0
3,"Pelouse 3",9,11,"Potentiel fongique intéressant",2,1,1,0,0
4,"Pelouse 4",4,11,"Potentiel fongique intéressant",1,1,1,0,0
5,"Pelouse 5",6,9,"Potentiel fongique faible",3,1,0,0,0
6,"Pelouse 6",0,0,"Potentiel fongique faible",0,0,0,0,0
7,"Pelouse 7",1,3,"Potentiel fongique faible",1,0,0,0,0
8,"Pelouse 8",1,3,"Potentiel fongique faible",0,0,0,1,0
9,"Pelouse 9",0,0,"Potentiel fongique faible",0,0,0,0,0
10,"Pelouse 10",0,0,"Potentiel fongique faible",0,0,0,0,0
11,"Pelouse 11",0,0,"Potentiel fongique faible",0,0,0,0,0
12,"Pelouse 12",0,0,"Potentiel fongique faible",0,0,0,0,0
13,"Pelouse 13",0,3,"Potentiel fongique faible",0,0,0,0,0
14,"Pelouse 14",0,0,"Potentiel fongique faible",0,0,0,0,0
15,"Pelouse 15",0,0,"Potentiel fongique faible",0,0,0,0,0
16,"Pelouse 16",5,13,"Potentiel fongique intéressant",2,1,1,0,0
17,"Pelouse 17",0,0,"Potentiel fongique faible",0,0,0,0,0
18,"Pelouse 18",0,2,"Potentiel fongique faible",0,0,0,0,0
19,"Pelouse 19",2,3,"Potentiel fongique faible",0,0,0,0,0
20,"Pelouse 20",4,14,"Potentiel fongique intéressant",2,1,1,0,0
