"Espèces","nb_observations","abondance_totale","nb_sites"
"Cuphophyllus virgineus",11,71,8
"Hygrocybe conica",9,26,5
"Hygrocybe euroflavescens",6,6,5
"Agaricus campestris",4,4,3
"Cuphophyllus russocoriacea",4,4,3
"Panaeolus foenisecii",2,9,2
"Conocybe tenera",2,4,2
"Agrocybe dura",2,3,2
"Clitocybe dealbata (rivulosa)",2,3,2
"Lepista sordida",2,3,1
"Mycena galericulata",2,3,2
"Hebeloma sp",2,2,2
"Mycena leptocephala",2,2,2
"Volvopluteus gloiocephalus",2,2,1
"Stereum hirsutum ",1,12,1
"Trametes pubescens",1,12,1
"Coprinellus micaceus",1,6,1
"Hymenopellis radicata (Relhan) R.H. Petersen",1,5,1
"Tubaria sp",1,4,1
"Agaricus campestris L., nom. sanct.",1,3,1
"Coprinopsis pseudonivea (Bender & Uljé) Redhead, Vilgalys & Moncalvo",1,3,1
"Tapinella panuoides",1,3,1
"Tubaria furfuracea (Pers.) Gillet",1,3,1
"Agrocybe pediades (Fr.) Fayod",1,2,1
"Caloboletus radicans (Pers.) Vizzini",1,2,1
"Galerina sp",1,2,1
"Hygrocybe cf calciphila",1,2,1
"Lycoperdon perlatum",1,2,1
"Tubaria furfuracea",1,2,1
"Tulostoma brumale",1,2,1
"Agaricus cupreobrunneus",1,1,1
"Bolbitius titubans",1,1,1
"Bolbitius titubans (Bull.) Fr.",1,1,1
"Clitocybe fragrans",1,1,1
"Collybia sordida",1,1,1
"Cuphophyllus berkeleyii",1,1,1
"Cuphophyllus flavipes",1,1,1
"Hygrocybe insipida ",1,1,1
"Marasmius oreades (Bolt.) Fr.",1,1,1
"Mycena stylobates",1,1,1
"Russula foetens",1,1,1
"Tubaria conspersa",1,1,1
"(Déclinaison régionale du portail national)",1,0,1
"Base de données mycologique (Portail Ile-de-France) : ",1,0,1
"Base de données mycologique (Portail national) : ",1,0,1
